ScenarioID,Vin_RMS,Pload_Pre_W,Pload_High_W,BoostInductance_uH,DCBusCapacitance_uF,LineFrequency_Hz,KP,KI,LogKP,LogKI,AcquisitionSource,AcquiredAt,Feasible,IAMP_MAX_A,SimulationSucceeded,SafetyPassed,Objective,PerformanceObjective,PreLoadMean_V,HighLoadMean_V,PostLoadMean_V,SteadyStateError_V,LoadOnUndershoot_V,LoadOffOvershoot_V,LoadOnSettling_s,LoadOffSettling_s,HighLoadRipple_Vpp,GlobalVoutMinimum_V,GlobalVoutMaximum_V,ILPeak_A,PowerFactor,THD_Percent,InputPower_W,DutyMinimum,DutyMaximum,DutyMeanHigh,DutySaturationFraction,DutyStepRMS,IrefPeak_A,IrefMeanAbsHigh_A,IrefSaturationFraction,IrefStepRMS_A,ElapsedTime_s,BaselineFileUnchanged,ErrorIdentifier,ErrorMessage
GUI_20260819_083400,180,365,1400,250,952,53,0.1,9,-2.30258509299405,2.19722457733622,FALLBACK_TARGETED_MID,19-Aug-2026 09:34:51,0,16,1,0,1000000,0.380548928489072,400.08137010075,391.26600739324,397.601545074742,5.22946249553852,31.9252343727032,25.8176596909387,0.390566037735849,0.11442,12.3870722186741,361.43991727543,430.019414960564,13.8755988654478,0.971673056355335,9.94535162217126,1346.83989822875,0,0.85,0.770447874643133,0.507728730678173,0.00963842732892345,12.477242954726,7.66522565890518,0,0.0116789432688701,35.0650669,1,,
GUI_20260819_083400,180,365,1400,250,952,53,0.15,12,-1.89711998488588,2.484906649788,FALLBACK_STRONG,19-Aug-2026 09:35:20,0,16,1,0,1000000,0.319224327574688,400.017558467485,391.275304092825,399.606999944719,5.04232340678755,26.055687228946,25.4239064295334,0.390566037735849,0.06012,12.3504207497183,366.960255212052,428.313402951938,13.8746890685801,0.971661496188723,9.9768063250293,1346.77565580503,0,0.85,0.771111674582787,0.510803722990693,0.00971929826731659,12.477062629154,7.70967764127008,0,0.011738701891416,27.9802136,1,,
GUI_PRESET_20260819_095914,188,425,1380,270,1050,48.3,0.15,11.1638195685513,-1.89711998488588,2.41267815364373,ML_RECOMMENDATION,19-Aug-2026 09:59:51,1,16,1,1,0.101307599336618,0.101307599336618,400.047096562729,399.96266796543,399.561588295696,0.255484239238012,22.5113546950093,24.2582232340755,0.0625,0.0569199999999999,12.1010642859643,370.495420017187,427.449762190734,14.141469812009,0.973179175014957,10.3216771213832,1385.35928564336,0,0.85,0.766164167738433,0.474356314109215,0.00904324737772158,12.7524157117936,7.53361398744535,0,0.0103828084500146,25.092404,1,,
GUI_PRESET_20260819_102243,230,300,1400,311,1360,50,0.15,12,-1.89711998488588,2.484906649788,ML_RECOMMENDATION,19-Aug-2026 10:23:23,1,16,1,1,0.0877929897610592,0.0877929897610592,400.013964144647,400.005843532058,399.82123652681,0.103578510560079,17.9544004066959,19.5188390444761,0.04516,0.0533999999999999,9.18418739170045,376.388601077013,421.275516607133,12.3951227408435,0.973511980151023,11.3156938263031,1401.94753795415,0,0.85,0.701509787839108,0.292476768808078,0.00818182737814032,10.9905623788779,5.85596232589526,0,0.00808539008724037,25.0740533,1,,
GUI_PRESET_20260819_143632,260,275,1400,331,1100,51.8,0.104048168478241,12,-2.2629013286209,2.484906649788,ML_RECOMMENDATION,19-Aug-2026 14:39:15,1,16,1,1,0.070401124477541,0.070401124477541,400.008143131216,399.914171913314,399.995707722373,0.0498370501315708,18.6273504849017,20.5297559273591,0.0371400000000001,0.0505599999999999,10.6418834856034,374.2559646487,422.283621929085,10.5154101072674,0.979377569372219,8.89960400750637,1396.91342033606,0,0.85,0.632772547832967,0.189857025357437,0.00648954432220435,9.11875325910047,4.87355609086138,0,0.00695721509236379,65.7714379,1,,
GUI_PRESET_20260819_143632,260,275,1380,331,1100,50.8,0.0898859291792012,12,-2.40921386611491,2.484906649788,ML_RECOMMENDATION,19-Aug-2026 14:47:18,1,16,1,1,0.0702945821441104,0.0702945821441104,399.999745016111,399.963011036478,400.034881415643,0.0293539412257624,19.329008205383,21.0342034521798,0.0373,0.05206,10.7219964248557,374.24802341566,422.835322629212,10.4547681769507,0.979868400754436,8.62865790270357,1379.69510325395,0,0.85,0.633265985243341,0.18873452816368,0.00629424094683307,9.05859458219909,4.79643028975487,0,0.00671025011801718,74.7684729,1,,
GUI_20260827_135943,212,365,1100,280,999,50.4,0.15,9.66219802687364,-1.89711998488588,2.26822116135519,ML_RECOMMENDATION,27-Aug-2026 14:02:37,1,16,1,1,0.0826846206437031,0.0826846206437031,400.002912086869,400.03681384823,399.775748651814,0.131215353312661,15.792410142057,16.6967249565921,0.0451,0.0479799999999999,9.69041547642883,379.294125170559,419.27363538075,10.8353615529686,0.961383595112871,10.9201052349906,1104.89255605367,0,0.85,0.734634176566139,0.344921637695906,0.00845594351995839,9.43726484913788,5.32181330225086,0,0.00741354226550788,54.5810061,1,,
GUI_20260827_135943,212,365,1100,280,999,53,0.1394183360728,10.385905613264,-1.97027625363289,2.34044965749946,ML_RECOMMENDATION,27-Aug-2026 14:06:39,1,16,1,1,0.0790629856354914,0.0790629856354914,400.006698269333,400.0156842558,399.64251544654,0.206628546474447,15.8196587965149,17.0469605457866,0.04342,0.0464199999999999,9.21890018308613,379.080747315612,419.03112576746,10.9502647827539,0.962177867881412,10.6174235108201,1106.41905554175,0,0.85,0.734870502099363,0.342999142502144,0.00843806757881724,9.55665530851108,5.30466975771477,0,0.00778307319473729,27.374954,1,,
GUI_PRESET_20260827_141034,188,211,1222,270,1050,48.3,0.15,12,-1.89711998488588,2.484906649788,ML_RECOMMENDATION,27-Aug-2026 14:18:07,1,16,1,1,0.113215818918506,0.113215818918506,400.067181676632,400.002341505113,400.52207714493,0.303909748433745,23.8838745265955,26.2030125512718,0.0535199999999999,0.0724199999999999,10.878721011998,369.547732998502,428.332760921911,13.8143356326346,0.967505140957755,11.1018459001048,1224.98316779504,0,0.85,0.76569246842333,0.46715383211542,0.00934682651188658,12.4279909607759,6.78810117330584,0,0.00939080035126713,26.5223029,1,,
GUI_PRESET_20260827_141034,188,488,1222,270,1050,48.3,0.15,10.385905613264,-1.89711998488588,2.34044965749946,ML_RECOMMENDATION,27-Aug-2026 14:34:54,1,16,1,1,0.0918093164140741,0.0918093164140741,400.051319400276,399.982912733581,399.788270436786,0.12616796140722,18.0677151438208,19.2592168785454,0.0526799999999999,0.0546199999999999,10.8519562497469,375.962405086529,422.287732187331,13.4204376997389,0.967581649972742,11.0589594429682,1225.75366921338,0,0.85,0.766316226213715,0.473728815677961,0.00940310614622783,12.034739945162,6.80941291320511,0,0.00938845706206921,29.9309536,1,,
GUI_PRESET_20260827_141034,200,300,1400,311,1100,50,0.15,12,-1.89711998488588,2.484906649788,ML_RECOMMENDATION,27-Aug-2026 14:43:49,1,16,1,1,0.0933797922117994,0.0933797922117994,400.016612704132,400.011880144291,399.696815946911,0.175440103562737,22.9851000340401,25.2566076000252,0.04996,0.0586599999999999,11.2610121805484,370.21157220618,427.002700771031,14.1150697139726,0.977471060094595,9.69681966732263,1401.76435160802,0,0.85,0.747963244847443,0.379479051302372,0.00835025910073916,12.7333587225468,6.91480491073103,0,0.00968627881072543,36.2213104,1,,
GUI_PRESET_20260827_141034,200,400,1320,288,1142,50,0.15,12,-1.89711998488588,2.484906649788,ML_RECOMMENDATION,27-Aug-2026 14:53:23,1,16,1,1,0.0896922530218079,0.0896922530218079,400.016159766317,400.012701257065,399.505066957177,0.285996023781326,19.2129746930491,20.9017658455672,0.0486,0.052,10.4200144135687,374.770179224414,422.805055254164,13.5586715726838,0.971718912751934,10.8123368612324,1319.48781488772,0,0.85,0.750618155811601,0.397556506108735,0.00888276334479034,12.1723743527933,6.69093850497907,0,0.00940405733832035,68.6694195,1,,
GUI_20260901_103746,212,365,1344,350,1199,51,0.15,12,-1.89711998488588,2.484906649788,ML_RECOMMENDATION,01-Sep-2026 10:39:19,1,16,1,1,0.0723436031302342,0.0723436031302342,400.009396616724,400.068756085486,399.468035402849,0.309732157580848,18.7250627937443,20.1027203879099,0.0461999999999999,0.0499399999999999,9.65903946212347,375.807443623828,421.921349732027,12.5981190301696,0.980724178615869,9.26963201019239,1359.27423368386,0,0.85,0.726802939197996,0.314941712645718,0.00769047437748949,11.2204276009086,6.07968338691678,0,0.00856833889154154,54.2177622,1,,
