PlanIndex,RunID,PointName,Split,LogKP,LogKI,ScenarioID,Vin_RMS,Pload_Pre_W,Pload_High_W,BoostInductance_uH,DCBusCapacitance_uF,LineFrequency_Hz,KP,KI,IAMP_MAX_A,SimulationSucceeded,SafetyPassed,Objective,PerformanceObjective,PreLoadMean_V,HighLoadMean_V,PostLoadMean_V,SteadyStateError_V,LoadOnUndershoot_V,LoadOffOvershoot_V,LoadOnSettling_s,LoadOffSettling_s,HighLoadRipple_Vpp,GlobalVoutMinimum_V,GlobalVoutMaximum_V,ILPeak_A,PowerFactor,THD_Percent,InputPower_W,DutyMinimum,DutyMaximum,DutyMeanHigh,DutySaturationFraction,DutyStepRMS,IrefPeak_A,IrefMeanAbsHigh_A,IrefSaturationFraction,IrefStepRMS_A,ElapsedTime_s,BaselineFileUnchanged,ErrorIdentifier,ErrorMessage,HardSafetyPassed,RegulationPassed,PowerQualityPassed,Feasible
11,S9_03_03,TARGETED_MID,train,-2.30258509299405,2.19722457733622,STAGE9_03,190,350,1400,280,952,49,0.1,9,16,1,1,0.12122071927294,0.12122071927294,400.060315197575,400.074100135354,398.033988821657,1.13641669389476,29.9106193836888,24.0082895537442,0.0652400000000001,0.10246,13.4856707332754,362.394515504007,430.035708501146,14.2908378917587,0.977163855904251,9.66051515120131,1419.85870738867,0,0.85,0.762913240577271,0.455851360371599,0.00878119709056958,12.9049128243388,7.43357323911839,0,0.0103668718738729,29.2497797,1,,,1,1,1,1
12,S9_03_04,STRONG_FIXED,train,-1.89711998488588,2.484906649788,STAGE9_03,190,350,1400,280,952,49,0.15,12,16,1,1,0.115361044440135,0.115361044440135,400.014085928643,400.095205474438,399.294018732477,0.411368466560997,24.0808202575985,26.7629249315769,0.0573400000000001,0.09276,13.2579279476488,368.144218500618,429.399308593623,14.143677152102,0.97632688571729,10.1420100415963,1419.56966826274,0,0.85,0.763596218217351,0.456096359759101,0.0088346502788168,12.7628241587829,7.46697163839643,0,0.0104213563908537,26.1674686,1,,,1,1,1,1
13,S9_04_01,SAFE_BASELINE,train,-4.60517018598809,-0.22314355131421,STAGE9_04,180,250,1250,248.8,1100,53,0.01,0.8,16,1,0,1000000,1.32180298883941,408.254114751244,388.849401052126,374.210900631565,16.9070391007023,90.639969519502,25.4732661121552,0.29044,0.3266,44.4512057185161,305.598866592954,430.04279105246,13.4917742236189,0.968610956754542,10.4536270431821,1275.69070509284,0,0.85,0.742183851763997,0.396949007627481,0.00881359422861604,12.0922783348162,6.07418081751977,0,0.00958832955417955,25.3953487,1,,,1,0,1,0
14,S9_04_02,PREVIOUS_BENCHMARK,train,-2.81378324280591,1.60684713308168,STAGE9_04,180,250,1250,248.8,1100,53,0.0599776526,4.9870628691,16,1,1,0.200262408240285,0.200262408240285,399.269604703428,400.153395699882,397.706804693549,1.39233044970514,41.4590853019538,25.4791602222614,0.1097,0.16154,11.4024741168832,354.051439182696,430.038028506115,13.8674986763813,0.966219014454154,10.8267929666128,1251.86488941965,0,0.85,0.772645995995188,0.522418693953265,0.00999417378108501,12.4763479465075,7.19959549617875,0,0.011089890743359,25.1370987,1,,,1,1,1,1
15,S9_04_03,TARGETED_MID,train,-2.30258509299405,2.19722457733622,STAGE9_04,180,250,1250,248.8,1100,53,0.1,9,16,1,1,0.155767788692401,0.155767788692401,400.174660083468,399.974269927981,398.972155744152,0.602116266635675,30.3501798575068,27.785287662186,0.0842999999999999,0.13876,9.75654127578622,364.899186279852,430.018748841878,13.871753984406,0.965986781744343,10.9983517540709,1254.70678974994,0,0.85,0.77475032416612,0.534213664465839,0.0101462088633692,12.4766986212126,7.3121496607347,0,0.0112297786342648,27.6286633,1,,,1,1,1,1
16,S9_04_04,STRONG_FIXED,train,-1.89711998488588,2.484906649788,STAGE9_04,180,250,1250,248.8,1100,53,0.15,12,16,1,1,0.139069728525825,0.139069728525825,400.074338599048,400.005510113152,400.162362709575,0.10314752883727,24.8970714462857,27.3193687082857,0.07346,0.1267,9.68970454634268,369.504731386731,429.236347899596,13.8618198535028,0.965753341982449,11.1649810322585,1254.60773634498,0,0.85,0.775525679607125,0.538473653815865,0.0101245756542018,12.4688232333145,7.34858028538298,0,0.0112674419921612,29.5596775,1,,,1,1,1,1
17,S9_05_01,SAFE_BASELINE,train,-4.60517018598809,-0.22314355131421,STAGE9_05,255,200,950,373.2,952,52.5,0.01,0.8,16,1,1,0.285035838544109,0.285035838544109,399.035474615736,402.534687851939,397.157004830965,2.26844831362879,45.7085160081601,26.5822603492319,0.171,0.2216,13.0846790872305,348.769877361516,430.005649712383,11.6929011088716,0.973837002582636,7.0824903914652,954.971018984033,0,0.85,0.568527201925843,0.156889607775981,0.00434291304027841,5.19835292585545,2.94366390065865,0,0.0043283283491229,28.5131368,1,,,1,1,1,1
18,S9_05_02,PREVIOUS_BENCHMARK,train,-2.81378324280591,1.60684713308168,STAGE9_05,255,200,950,373.2,952,52.5,0.0599776526,4.9870628691,16,1,1,0.0828278461162965,0.0828278461162965,400.062078889388,400.004595078837,401.506404114423,0.870465059457119,22.2250754476696,23.5233480309001,0.05584,0.0802799999999999,8.53788104739294,373.572962471738,425.286200002909,7.3269698838027,0.973400331949582,8.02337034795904,944.777964958101,0,0.85,0.624546337632653,0.180629548426129,0.00474623611853279,5.94476857654362,3.23290700956088,0,0.00465679674485735,26.5754909,1,,,1,1,1,1
19,S9_05_03,TARGETED_MID,train,-2.30258509299405,2.19722457733622,STAGE9_05,255,200,950,373.2,952,52.5,0.1,9,16,1,1,0.0612275788719469,0.0612275788719469,399.998231758226,399.993049146328,400.249105606662,0.143880788984434,15.4025806807579,16.3812578893083,0.03808,0.05172,8.21886547142441,379.267483552192,418.232853231025,7.51921391886,0.97205506707904,8.94650372278859,944.45415882684,0,0.85,0.629281076443225,0.181632045919885,0.00485068974796404,6.13785456123647,3.2573509276326,0,0.00470307621757681,25.032567,1,,,1,1,1,1
20,S9_05_04,STRONG_FIXED,train,-1.89711998488588,2.484906649788,STAGE9_05,255,200,950,373.2,952,52.5,0.15,12,16,1,1,0.0622985988595275,0.0622985988595275,399.99816315113,399.993597395203,399.989393849699,0.00723090096172828,12.2814824996334,12.7253427874929,0.02994,0.03732,8.22116036801214,383.15874082932,414.615491962021,7.54571349159033,0.969657509544474,10.2568096085031,944.527836802743,0,0.85,0.630998456330411,0.182027044932388,0.00501647024396126,6.1630117678154,3.26974739483042,0,0.00476667306236153,25.1222272,1,,,1,1,1,1
21,S9_06_01,SAFE_BASELINE,train,-4.60517018598809,-0.22314355131421,STAGE9_06,230,500,1300,311,1360,50,0.01,0.8,16,1,1,0.788105576835126,0.788105576835126,404.397405555695,400.386220879054,377.745926348953,13.0987294072732,51.2677249286466,26.1668823896371,0.2144,0.38,23.6732309713601,344.783027693168,430.047264215372,10.5317687988913,0.973358837646897,10.2105920521858,1345.69772144644,0,0.85,0.675111346298861,0.245239386901533,0.00705735506199983,9.12080121372055,4.96121368584138,0,0.00690364137427886,25.4819611,1,,,1,1,1,1
22,S9_06_02,PREVIOUS_BENCHMARK,train,-2.81378324280591,1.60684713308168,STAGE9_06,230,500,1300,311,1360,50,0.0599776526,4.9870628691,16,1,1,0.128111150043059,0.128111150043059,399.985444294957,399.765586161111,400.433517405147,0.284662991961728,22.3538396852596,24.5093900692489,0.0725600000000001,0.13744,9.68262916874306,373.166485856801,426.531241923692,11.3572500456822,0.972354650567277,10.3587505795258,1302.27582417726,0,0.85,0.699105850637871,0.281309296726758,0.00779145613453479,9.94326478105899,5.40964490123619,0,0.00742768735139437,25.1900122,1,,,1,1,1,1
23,S9_06_03,TARGETED_MID,train,-2.30258509299405,2.19722457733622,STAGE9_06,230,500,1300,311,1360,50,0.1,9,16,1,1,0.0802011410561546,0.0802011410561546,400.049195020609,400.022570024059,399.589172056057,0.23924126982579,16.3610473154598,17.5332462478422,0.05006,0.0524399999999998,8.74527622399108,379.20316996365,419.714485491772,11.4982623663363,0.971950380429023,10.7368611462214,1302.31201761327,0,0.85,0.701077432151102,0.286271784320539,0.0079926921307592,10.0838674432579,5.44869066393217,0,0.0074781973538651,28.4984674,1,,,1,1,1,1
24,S9_06_04,STRONG_FIXED,train,-1.89711998488588,2.484906649788,STAGE9_06,230,500,1300,311,1360,50,0.15,12,16,1,1,0.0737939767478015,0.0737939767478015,400.007200040319,400.006762981521,399.678502310783,0.185704373195068,13.022007640473,13.9005260992304,0.0400999999999999,0.0420399999999999,8.51015834515107,381.948942728942,416.23007922872,11.3552116148482,0.971337619631157,11.2095970068834,1301.56035782739,0,0.85,0.701821193037743,0.288794278014305,0.00819233984450274,9.96754278942902,5.46417303369401,0,0.00751602327623246,30.6122862,1,,,1,1,1,1
25,S9_07_01,SAFE_BASELINE,validation,-4.60517018598809,-0.22314355131421,STAGE9_07,182.5,275,1375,260,1000,48.5,0.01,0.8,16,1,0,1000000,1.37687923894196,403.786190959033,388.779669903912,372.777885004321,17.1393756623106,92.1724196742823,25.6887927551545,0.29432,0.38,41.8130092263501,302.698406731632,430.062610815131,13.9989289822348,0.974939335407395,9.42599779150403,1377.96439354057,0,0.85,0.739468703751768,0.38876152809618,0.00821659475653073,12.6076466665077,6.41762193470853,0,0.00920037370181015,32.7968747,1,,,1,0,1,0
26,S9_07_02,PREVIOUS_BENCHMARK,validation,-2.81378324280591,1.60684713308168,STAGE9_07,182.5,275,1375,260,1000,48.5,0.0599776526,4.9870628691,16,1,1,0.198148490148478,0.198148490148478,399.65676217283,398.248865132078,397.063778423279,1.983740799538,44.4323121309305,24.7841520667995,0.1211,0.14536,12.6183076452692,349.490902807986,430.064767140839,14.0422871722114,0.973489216707705,9.76637540576211,1373.48101676292,0,0.85,0.768868051864964,0.496916257709356,0.00913002102201635,12.649176551609,7.52365325815103,0,0.0105698557680927,33.8981177,1,,,1,1,1,1
27,S9_07_03,TARGETED_MID,validation,-2.30258509299405,2.19722457733622,STAGE9_07,182.5,275,1375,260,1000,48.5,0.1,9,16,1,1,0.151506969899471,0.151506969899471,400.118037524637,397.364919524988,398.268845361633,1.82158157919198,32.8362092747323,24.3389209594658,0.0983999999999999,0.11896,12.6108942262292,360.421854972613,430.035396623554,14.0428381580295,0.973098567726046,10.0739653230903,1366.85212874799,0,0.85,0.77081582659915,0.503838740403149,0.00920538968985621,12.6494494788225,7.6096429219682,0,0.0106650281083244,34.8490665,1,,,1,1,1,1
28,S9_07_04,STRONG_FIXED,validation,-1.89711998488588,2.484906649788,STAGE9_07,182.5,275,1375,260,1000,48.5,0.15,12,16,1,1,0.147702525915936,0.147702525915936,400.027753611113,396.738997378571,399.234489249137,1.93398682084296,27.0633595320572,27.613688617387,0.0904200000000001,0.11558,12.5979155520124,365.920226396721,430.005564590436,14.0414531810216,0.972793776424842,10.3865467932902,1362.36824703137,0,0.85,0.771340397706231,0.50555123612191,0.00923587118900533,12.6494638558684,7.62785131204354,0,0.0106815157566824,29.8427869,1,,,1,1,1,1
29,S9_08_01,SAFE_BASELINE,validation,-4.60517018598809,-0.22314355131421,STAGE9_08,200,300,1350,290,1150,51.5,0.01,0.8,16,1,1,1.03728892884583,1.03728892884583,403.017573167501,394.810305418054,377.648923718263,13.3617524876935,79.3033972168092,25.3366033852028,0.25572,0.38,34.8657094203153,316.326279869357,430.070814491795,12.5447743766445,0.977888524724631,9.37232350683327,1394.9419232975,0,0.85,0.71466531560347,0.316589208526979,0.00786678852338675,11.1527985811625,5.79920234045569,0,0.00860732462738218,30.6384157,1,,,1,1,1,1
30,S9_08_02,PREVIOUS_BENCHMARK,validation,-2.81378324280591,1.60684713308168,STAGE9_08,200,300,1350,290,1150,51.5,0.0599776526,4.9870628691,16,1,1,0.156255617719795,0.156255617719795,399.848985181423,399.731198355186,397.703390707082,1.33784329476007,36.7208391770706,24.8384301057015,0.08388,0.14146,11.5990102918449,357.970680904891,430.018933635537,13.8844767641862,0.97640044526474,9.80462319995452,1363.32774362612,0,0.85,0.746996972041006,0.38555403611491,0.00877087029690698,12.5024309416884,6.70004762645292,0,0.00972965388383598,31.1973513,1,,,1,1,1,1
31,S9_08_03,TARGETED_MID,validation,-2.30258509299405,2.19722457733622,STAGE9_08,200,300,1350,290,1150,51.5,0.1,9,16,1,1,0.125120032512133,0.125120032512133,400.095009758931,400.085372314926,399.112586925416,0.517628325921982,27.1664389279421,27.3728710401367,0.05984,0.12314,10.5782551440633,367.517123133459,430.000966001561,14.0992025506077,0.9761847148368,10.0173318486138,1364.97808863321,0,0.85,0.749314776471711,0.393716515708711,0.00887182725550928,12.7077339109202,6.7747017881622,0,0.00981096972557722,28.4016112,1,,,1,1,1,1
32,S9_08_04,STRONG_FIXED,validation,-1.89711998488588,2.484906649788,STAGE9_08,200,300,1350,290,1150,51.5,0.15,12,16,1,1,0.0931873264000486,0.0931873264000486,400.022979339815,400.087308349852,399.627700569054,0.221176900764333,21.7960403160592,24.0578759699071,0.05036,0.0585799999999999,10.2021069506664,372.06603287968,425.532348540974,13.9455116415746,0.975803610975954,10.2826123911127,1364.14961233413,0,0.85,0.750177398792461,0.395584011039972,0.00883701092158347,12.5525757631994,6.80145800131821,0,0.00984616689918382,35.639032,1,,,1,1,1,1
33,S9_09_01,SAFE_BASELINE,validation,-4.60517018598809,-0.22314355131421,STAGE9_09,260,250,1000,360,1050,52.2,0.01,0.8,16,1,1,0.293227000536657,0.293227000536657,401.072411530807,401.971027839023,395.267033152648,3.02412479965946,39.2645403115754,26.3421948181804,0.18418,0.22194,14.5094333396298,354.896610850525,430.03588911444,14.4301029652537,0.976284165477296,7.17775811591792,1020.35161778482,0,0.85,0.560747064655117,0.153894615263462,0.00423281557091967,5.25600080669864,2.99446384550195,0,0.00440266660918173,27.7463093,1,,,1,1,1,1
34,S9_09_02,PREVIOUS_BENCHMARK,validation,-2.81378324280591,1.60684713308168,STAGE9_09,260,250,1000,360,1050,52.2,0.0599776526,4.9870628691,16,1,1,0.0754049732443267,0.0754049732443267,400.066469180101,400.02137734627,400.624315887093,0.362696139908265,20.9432060922893,22.298816239172,0.05664,0.0696000000000001,8.27624727536676,374.524835969992,423.720205609648,7.4197413988815,0.97575204631303,8.01669662217842,1003.76158011103,0,0.85,0.619067142621377,0.177767055582361,0.00462444333954256,6.02217942151946,3.33071550494083,0,0.0047904835396222,25.2534418,1,,,1,1,1,1
35,S9_09_03,TARGETED_MID,validation,-2.30258509299405,2.19722457733622,STAGE9_09,260,250,1000,360,1050,52.2,0.1,9,16,1,1,0.057344516709073,0.057344516709073,399.991092374956,400.014574978009,399.879999793273,0.0699805339183959,14.8393605749865,15.6190053772094,0.0383,0.0450999999999999,7.93749342467129,380.957695584115,417.104146190191,7.60222275216899,0.974592533152209,8.85873148692681,1003.02799347825,0,0.85,0.623890352301489,0.178594553513616,0.00471529179782691,6.21392427866282,3.3559328998201,0,0.00483659444447536,24.5862646,1,,,1,1,1,1
36,S9_09_04,STRONG_FIXED,validation,-1.89711998488588,2.484906649788,STAGE9_09,260,250,1000,360,1050,52.2,0.15,12,16,1,1,0.0580756923528669,0.0580756923528669,399.987380560797,400.011920521289,399.835558356002,0.0954679760518928,11.6558274334051,12.1301746306142,0.02974,0.0334999999999999,7.91563078748828,383.49158171265,413.994872135516,7.65232798469457,0.97254080951129,10.026471650504,1003.1159030542,0,0.85,0.625602873127736,0.178862052844868,0.00484610128046681,6.269185035889,3.36866413461345,0,0.00489766212793954,24.5847437,1,,,1,1,1,1
37,S9_10_01,SAFE_BASELINE,test,-4.60517018598809,-0.22314355131421,STAGE9_10,180.5,325,1400,255,1020,47.8,0.01,0.8,16,1,0,1000000,1.60208565976309,404.777505360348,385.460060829556,368.53869774769,20.1994053374482,89.163693201311,25.5748904146823,0.389539748953975,0.38,35.9671561696659,305.513908802897,430.071274311876,13.9050625544838,0.975361477722216,9.41023039878972,1372.05816377846,0,0.85,0.743236692927039,0.400433998915003,0.00835453000172646,12.5114962394291,6.55536861467431,0,0.00922499119709363,29.3065989,1,,,1,0,1,0
38,S9_10_02,PREVIOUS_BENCHMARK,test,-2.81378324280591,1.60684713308168,STAGE9_10,180.5,325,1400,255,1020,47.8,0.0599776526,4.9870628691,16,1,1,0.268246970748115,0.268246970748115,399.666191123179,392.961210349887,396.402476429346,4.56793768004041,43.2977699808407,25.1379639805018,0.20002,0.14478,13.3954311057423,350.377777770695,430.04078083283,13.9091169320962,0.974314347815937,9.53223453943545,1370.38824807068,0,0.85,0.768253526873156,0.495668760828098,0.00925944831083959,12.5115457215601,7.57053552285109,0,0.0104748600268341,38.7869216,1,,,1,1,1,1
39,S9_10_03,TARGETED_MID,test,-2.30258509299405,2.19722457733622,STAGE9_10,180.5,325,1400,255,1020,47.8,0.1,9,16,1,1,0.206298203342759,0.206298203342759,400.107799800183,393.129668750613,397.8759282847,4.15229867763867,31.9739522437886,24.7962210968625,0.17628,0.11862,13.1906646702348,360.593194425143,430.026816187701,13.906870029131,0.974360316416059,9.50793389960739,1370.57879040949,0,0.85,0.77026373067111,0.504391239021902,0.00940369107810697,12.5114737069442,7.68285803886306,0,0.0106016029131171,32.0822605,1,,,1,1,1,1
40,S9_10_04,STRONG_FIXED,test,-1.89711998488588,2.484906649788,STAGE9_10,180.5,325,1400,255,1020,47.8,0.15,12,16,1,1,0.196695343679094,0.196695343679094,400.018825248461,393.138798077622,399.505216820367,3.9716183353253,26.6641224287984,27.4802594171571,0.17034,0.11658,13.1052597404649,366.968970461528,429.73183376692,13.9083035252427,0.974415400462006,9.51466739942959,1370.48337533903,0,0.85,0.770947025682847,0.506901232746918,0.0094563017584364,12.511635307608,7.72491654304865,0,0.0106447232637962,35.7894234,1,,,1,1,1,1
41,S9_11_01,SAFE_BASELINE,test,-4.60517018598809,-0.22314355131421,STAGE9_11,215,450,1375,300,1200,50.8,0.01,0.8,16,1,1,0.934655060271803,0.934655060271803,403.020674530628,397.684918671055,375.331181944369,14.4110450747731,62.9951982356473,25.2944226904026,0.2331,0.38,29.247793534747,332.551155869015,430.032003416328,11.7692975169175,0.976096010259196,10.2082301361236,1413.15476188713,0,0.85,0.69777117981805,0.280104299739251,0.00769153077194413,10.3740895838054,5.59877609800357,0,0.00799542957144563,32.6970081,1,,,1,1,1,1
42,S9_11_02,PREVIOUS_BENCHMARK,test,-2.81378324280591,1.60684713308168,STAGE9_11,215,450,1375,300,1200,50.8,0.0599776526,4.9870628691,16,1,1,0.140459264029343,0.140459264029343,399.999926205013,399.727617146637,396.839347990796,1.83156704741583,28.908423955215,24.0428092118868,0.0771000000000001,0.12618,11.2184453876844,365.810241921053,430.00629781633,12.8238213603552,0.974911272276906,10.5111911179207,1381.37418531039,0,0.85,0.724445445933626,0.327816680458299,0.00851401092818565,11.4290639707759,6.26206279550505,0,0.00881548842534822,32.2911753,1,,,1,1,1,1
43,S9_11_03,TARGETED_MID,test,-2.30258509299405,2.19722457733622,STAGE9_11,215,450,1375,300,1200,50.8,0.1,9,16,1,1,0.0958568461877634,0.0958568461877634,400.071248048925,399.989375240483,399.454792076783,0.317511600590791,21.3205622359343,23.204314988741,0.0541999999999999,0.0573599999999999,10.2538877820214,373.415530399344,425.453227630927,13.003812600063,0.974713301606021,10.6835851829974,1381.40834296398,0,0.85,0.726485834071947,0.33443416391459,0.00860606744577049,11.6244916394509,6.31896293045084,0,0.00888565810641228,26.0494482,1,,,1,1,1,1
44,S9_11_04,STRONG_FIXED,test,-1.89711998488588,2.484906649788,STAGE9_11,215,450,1375,300,1200,50.8,0.15,12,16,1,1,0.0829893175033242,0.0829893175033242,400.027556521073,399.977395233542,399.562850829302,0.253225679820679,17.0312761709056,18.3150532062612,0.0448,0.04698,10.0864855166909,376.986840716905,421.07690406321,12.8837571931199,0.974158622813275,10.9952269237517,1381.02274416588,0,0.85,0.727188608753644,0.336406658983353,0.00862919560019663,11.4942598327648,6.33822981558985,0,0.00892140873773847,25.4634545,1,,,1,1,1,1
45,S9_12_01,SAFE_BASELINE,test,-4.60517018598809,-0.22314355131421,STAGE9_12,263,225,925,365,980,52.7,0.01,0.8,16,1,1,0.272533702054914,0.272533702054914,400.554119736013,401.744066708191,397.08381132359,1.98771005270541,35.1969821090531,26.4957863594661,0.18178,0.21106,14.7093852739558,358.424015301778,430.033119578426,15.2300306669126,0.970528489727592,7.96503127505473,929.376353975852,0,0.85,0.545020428889527,0.146957132607168,0.00403757559226412,4.69221484849312,2.6759887836218,0,0.00398106886389001,24.9105631,1,,,1,1,1,1
46,S9_12_02,PREVIOUS_BENCHMARK,test,-2.81378324280591,1.60684713308168,STAGE9_12,263,225,925,365,980,52.7,0.0599776526,4.9870628691,16,1,1,0.0781348041205021,0.0781348041205021,400.074303370994,400.018279196793,400.767551962892,0.445342989808804,19.8934415225675,21.0988419944633,0.05378,0.0689200000000001,7.95955982607342,375.624929005791,422.635562631405,6.83394055102007,0.969685787842976,8.88178079559593,916.466684087177,0,0.85,0.604382078239518,0.172004569988575,0.00438643149471421,5.4341860466271,2.99708223464035,0,0.00435659712157939,24.6851743,1,,,1,1,1,1
