PlanIndex,RunID,PointName,Split,LogKP,LogKI,ScenarioID,Vin_RMS,Pload_Pre_W,Pload_High_W,BoostInductance_uH,DCBusCapacitance_uF,LineFrequency_Hz,KP,KI,IAMP_MAX_A,SimulationSucceeded,SafetyPassed,Objective,PerformanceObjective,PreLoadMean_V,HighLoadMean_V,PostLoadMean_V,SteadyStateError_V,LoadOnUndershoot_V,LoadOffOvershoot_V,LoadOnSettling_s,LoadOffSettling_s,HighLoadRipple_Vpp,GlobalVoutMinimum_V,GlobalVoutMaximum_V,ILPeak_A,PowerFactor,THD_Percent,InputPower_W,DutyMinimum,DutyMaximum,DutyMeanHigh,DutySaturationFraction,DutyStepRMS,IrefPeak_A,IrefMeanAbsHigh_A,IrefSaturationFraction,IrefStepRMS_A,ElapsedTime_s,BaselineFileUnchanged,ErrorIdentifier,ErrorMessage
31,S7_06_01,SAFE_BASELINE,train,-4.60517018598809,-0.22314355131421,STAGE7_06,236.328215333507,223.544054229493,992.722807508624,269.85662104101,1222.13759945535,49.6710250443977,0.01,0.8,16,1,1,0.477516171441415,0.477516171441415,403.00483132646,403.365959569098,390.850764386939,5.88974270588499,54.8127669279194,26.6585318787025,0.19348,0.28756,17.4355026761671,341.520231719447,430.041097756707,8.55172919551626,0.962176919448946,10.5545710964889,1041.04840919094,0,0.85,0.667728926171731,0.290539273651816,0.00418661778481525,7.12217094525542,3.81146429732798,0,0.00528511352069571,37.5606964,1,,
32,S7_06_02,PREVIOUS_BENCHMARK,train,-2.81378324280591,1.60684713308168,STAGE7_06,236.328215333507,223.544054229493,992.722807508624,269.85662104101,1222.13759945535,49.6710250443977,0.0599776526,4.9870628691,16,1,1,0.119573677756408,0.119573677756408,399.989729690357,399.884050567147,401.443712452673,0.836232702111376,22.9581750882362,24.3083881286945,0.06692,0.08666,8.61701829144909,373.354040672638,425.627061062061,9.30799841862647,0.960912864443415,11.3589158908913,1005.3865341796,0,0.85,0.696748168985249,0.3439816400459,0.00424787624058587,7.89373943690669,4.15594744575998,0,0.0056379400086468,29.0942881,1,,
33,S7_06_03,STRONG_FIXED,train,-1.89711998488588,2.484906649788,STAGE7_06,236.328215333507,223.544054229493,992.722807508624,269.85662104101,1222.13759945535,49.6710250443977,0.15,12,16,1,1,0.0849234773971529,0.0849234773971529,400.003407259647,400.009763734898,399.742868850315,0.148574748949173,13.1696923943975,13.6900102729332,0.03672,0.04358,7.32147243246436,382.77293606712,414.74666781821,9.3413708100363,0.95899497081372,12.2796222425358,1003.32812795871,0,0.85,0.700031028051591,0.346399134002165,0.00433146804917013,7.91828334662925,4.20028630354223,0,0.00571003883848631,30.1519916,1,,
34,S7_06_04,DOE_RANDOM_1,train,-4.69694677951348,0.478988371126831,STAGE7_06,236.328215333507,223.544054229493,992.722807508624,269.85662104101,1222.13759945535,49.6710250443977,0.00912308942504512,1.61444036132726,16,1,1,0.474777195365581,0.474777195365581,396.489408601969,402.004282571316,396.430124972213,3.11370135067754,41.1498898857373,26.4317702743852,0.23374,0.32478,20.5197828391048,354.972356378685,430.04101244609,9.18850949928521,0.959391298814138,11.1760313566131,982.180086705037,0,0.85,0.685766744467048,0.313996715008212,0.00424262887473051,7.75347896120688,3.99550910386269,0,0.00549355888625859,31.3628908,1,,
35,S7_06_05,DOE_RANDOM_2,train,-2.58762477512815,-0.0461657582455431,STAGE7_06,236.328215333507,223.544054229493,992.722807508624,269.85662104101,1222.13759945535,49.6710250443977,0.0751984413380975,0.954883669230186,16,1,1,0.362504807543905,0.362504807543905,401.034472423724,395.703185422401,396.600971886977,3.21901334898523,31.2485335059494,27.0617765208763,0.2181,0.24934,14.7327563931337,365.122399483107,430.007946190032,8.08025345457447,0.961521805815726,11.4812173533244,1004.38852485995,0,0.85,0.681055824177924,0.290644273389317,0.00415489350397238,6.6452495652167,3.86620945245331,0,0.00525889025197888,32.7644118,1,,
36,S7_06_06,DOE_RANDOM_3,train,-3.06450541797505,2.15293836898138,STAGE7_06,236.328215333507,223.544054229493,992.722807508624,269.85662104101,1222.13759945535,49.6710250443977,0.0466769217230239,8.61012097601427,16,1,1,0.102440574323243,0.102440574323243,400.210240947835,400.132589579864,400.33957603676,0.242963054514128,19.9803202967536,20.8089752057508,0.04926,0.0684799999999999,9.03557666819938,375.246401347125,422.553745812822,10.0336766388148,0.960496001376576,11.5514627333533,1000.79099670271,0,0.85,0.698080263991443,0.340976647558381,0.00430426677602724,8.60690987404637,4.1825768377492,0,0.0056804377123726,30.3000105,1,,
37,S7_07_01,SAFE_BASELINE,validation,-4.60517018598809,-0.22314355131421,STAGE7_07,220.005030593249,293.443141954625,1209.91063525718,264.513657122096,1389.58958916481,51.0880518091877,0.01,0.8,16,1,1,0.724062466314129,0.724062466314129,405.886082809858,399.751749177104,382.406560691857,10.7119358039665,64.7996937367968,25.8228175087489,0.2299,0.29824,28.8524670071704,331.796978545872,430.008344653774,10.9142479079456,0.968254685023161,9.73245560239046,1277.29658334142,0,0.85,0.691998204598088,0.278301804245489,0.00648073197301508,9.50271310018942,4.94902570283165,0,0.00717572220586999,30.5674058,1,,
38,S7_07_02,PREVIOUS_BENCHMARK,validation,-2.81378324280591,1.60684713308168,STAGE7_07,220.005030593249,293.443141954625,1209.91063525718,264.513657122096,1389.58958916481,51.0880518091877,0.0599776526,4.9870628691,16,1,1,0.152486007606377,0.152486007606377,399.83907532853,399.631988479584,400.004450636106,0.231911647837447,27.6197876166856,27.9557618484371,0.07956,0.16714,9.33154648668443,368.363584925526,430.011705370266,11.9655073830251,0.967115500375979,9.46842071100033,1215.79373827697,0,0.85,0.722145168469717,0.330864172839568,0.00718607210130147,10.5559724668948,5.52241742117729,0,0.00781820361823043,28.148074,1,,
39,S7_07_03,STRONG_FIXED,validation,-1.89711998488588,2.484906649788,STAGE7_07,220.005030593249,293.443141954625,1209.91063525718,264.513657122096,1389.58958916481,51.0880518091877,0.15,12,16,1,1,0.0754794949589035,0.0754794949589035,400.027813391311,400.033640092026,399.573074876143,0.247770257771117,16.3090518597892,17.2457909823887,0.0458999999999999,0.0523199999999999,7.6215804590434,379.804985277565,418.658106825056,11.9585877388225,0.965981710440097,10.3075984088155,1216.06000081639,0,0.85,0.724742976275008,0.336304159239602,0.00760663503625547,10.5476298796033,5.58581677276488,0,0.00789358424168976,29.4012866,1,,
40,S7_07_04,DOE_RANDOM_1,validation,-3.01178846102537,-0.557068933409853,STAGE7_07,220.005030593249,293.443141954625,1209.91063525718,264.513657122096,1389.58958916481,51.0880518091877,0.0492036012991543,0.572885771722662,16,1,0,1000000,0.976358851257751,403.044670533189,384.106198753321,386.629385500253,12.1196296536578,47.691484665277,27.3169300590466,0.390212975788008,0.38,25.8589577470617,348.814408250609,430.018926934958,10.1115032924954,0.969095209367923,9.40594012951625,1183.62927106866,0,0.85,0.693255463138677,0.266209334476664,0.00553188492475004,8.69750734847153,4.69246155223072,0,0.00664212948237675,30.9686664,1,,
41,S7_07_05,DOE_RANDOM_2,validation,-4.75005554458723,0.911778177108444,STAGE7_07,220.005030593249,293.443141954625,1209.91063525718,264.513657122096,1389.58958916481,51.0880518091877,0.00865121466162758,2.48874402877959,16,1,1,0.465499297253797,0.465499297253797,399.028732154009,400.573583859058,396.777631979371,1.97112618676078,43.9120148773625,26.8875715609161,0.22862,0.31998,24.5883245015825,352.540541699524,430.013266606057,12.3668972174004,0.965873789718376,9.10756551641705,1180.86991489042,0,0.85,0.71586486823703,0.318304204239489,0.00699434787671465,10.9628728250422,5.39482856414467,0,0.00774578605914423,28.5594178,1,,
